sample_id,scene,metric,spconv_k0,spconv_k1,spconv_k3,spconv_k5,spconv_gain,official_flex_k0,official_flex_k1,official_flex_k3,official_flex_k5,official_flex_gain,official_minus_spconv,official_gain_over_spconv,spconv_outcome,official_outcome
ai_050_002_cam_03_frame.0010,ai_050_002,native_disparity_mae,0.05447766184806824,0.053210243582725525,0.05281925946474075,0.05423856899142265,0.0016584023833274841,0.05447766184806824,0.05515502020716667,0.056661076843738556,0.06177137419581413,-0.0021834149956703186,0.0038418173789978027,-0.0038418173789978027,win,loss
ai_050_002_cam_03_frame.0099,ai_050_002,native_disparity_mae,0.13446076214313507,0.13497047126293182,0.1375584453344345,0.14044936001300812,-0.0030976831912994385,0.13446076214313507,0.1407468318939209,0.14254023134708405,0.14485923945903778,-0.008079469203948975,0.004981786012649536,-0.004981786012649536,loss,loss
ai_050_002_cam_04_frame.0076,ai_050_002,native_disparity_mae,0.057755716145038605,0.05597870796918869,0.054830215871334076,0.05443331599235535,0.002925500273704529,0.057755716145038605,0.051443856209516525,0.04837566614151001,0.047055795788764954,0.009380050003528595,-0.006454549729824066,0.006454549729824066,win,win
ai_051_004_cam_00_frame.0051,ai_051_004,native_disparity_mae,0.06755479425191879,0.06793972849845886,0.07162348181009293,0.07722209393978119,-0.004068687558174133,0.06755479425191879,0.07429410517215729,0.07737413793802261,0.08076057583093643,-0.00981934368610382,0.0057506561279296875,-0.0057506561279296875,loss,loss
ai_051_004_cam_01_frame.0026,ai_051_004,native_disparity_mae,0.06658666580915451,0.06580980867147446,0.06844888627529144,0.07247976958751678,-0.0018622204661369324,0.06658666580915451,0.06461305916309357,0.0674925372004509,0.07091036438941956,-0.0009058713912963867,-0.0009563490748405457,0.0009563490748405457,loss,loss
ai_051_004_cam_02_frame.0000,ai_051_004,native_disparity_mae,0.06780418753623962,0.06499149650335312,0.061123162508010864,0.06152389198541641,0.00668102502822876,0.06780418753623962,0.04769689589738846,0.044278115034103394,0.045621514320373535,0.02352607250213623,-0.01684504747390747,0.01684504747390747,win,win
ai_051_004_cam_02_frame.0075,ai_051_004,native_disparity_mae,0.1164533719420433,0.11656530946493149,0.11818362772464752,0.12054907530546188,-0.0017302557826042175,0.1164533719420433,0.11897220462560654,0.11984466016292572,0.12042715400457382,-0.0033912882208824158,0.0016610324382781982,-0.0016610324382781982,loss,loss
ai_051_004_cam_03_frame.0066,ai_051_004,native_disparity_mae,0.06775622069835663,0.06632931530475616,0.0641200914978981,0.06289368867874146,0.0036361292004585266,0.06775622069835663,0.0788477212190628,0.08021298050880432,0.08314555138349533,-0.012456759810447693,0.01609288901090622,-0.01609288901090622,win,loss
ai_051_004_cam_04_frame.0051,ai_051_004,native_disparity_mae,0.04812416434288025,0.04843185096979141,0.05097281560301781,0.05575001239776611,-0.002848651260137558,0.04812416434288025,0.047956787049770355,0.048416465520858765,0.04949774593114853,-0.0002923011779785156,-0.0025563500821590424,0.0025563500821590424,loss,loss
ai_051_004_cam_05_frame.0026,ai_051_004,native_disparity_mae,0.03473181277513504,0.029037898406386375,0.023894954472780228,0.027434557676315308,0.010836858302354813,0.03473181277513504,0.019795134663581848,0.01951766014099121,0.023425091058015823,0.01521415263414383,-0.004377294331789017,0.004377294331789017,win,win
ai_052_001_cam_00_frame.0000,ai_052_001,native_disparity_mae,0.06128086894750595,0.05952651426196098,0.058123648166656494,0.0590335950255394,0.003157220780849457,0.06128086894750595,0.05079277604818344,0.04670020192861557,0.04577713832259178,0.01458066701889038,-0.011423446238040924,0.011423446238040924,win,win
ai_052_001_cam_00_frame.0075,ai_052_001,native_disparity_mae,0.02356056496500969,0.022506749257445335,0.02298164926469326,0.02629721723496914,0.0005789157003164291,0.02356056496500969,0.021426383405923843,0.02069033309817314,0.022447165101766586,0.002870231866836548,-0.0022913161665201187,0.0022913161665201187,win,win
ai_052_001_cam_01_frame.0049,ai_052_001,native_disparity_mae,0.08500559628009796,0.08309069275856018,0.08372075855731964,0.08650454133749008,0.0012848377227783203,0.08500559628009796,0.07840215414762497,0.07655128836631775,0.07695645093917847,0.008454307913780212,-0.007169470191001892,0.007169470191001892,win,win
ai_052_003_cam_00_frame.0024,ai_052_003,native_disparity_mae,0.02878834307193756,0.025023464113473892,0.02041562646627426,0.020920520648360252,0.0083727166056633,0.02878834307193756,0.02248222753405571,0.023777812719345093,0.027164246886968613,0.005010530352592468,0.0033621862530708313,-0.0033621862530708313,win,win
ai_052_003_cam_01_frame.0004,ai_052_003,native_disparity_mae,0.03160583972930908,0.027052737772464752,0.023560896515846252,0.027039503678679466,0.00804494321346283,0.03160583972930908,0.017392665147781372,0.018554016947746277,0.022481590509414673,0.013051822781562805,-0.005006879568099976,0.005006879568099976,win,win
